# Hierarchical baseline profile — 3 sessions, 10 EM iters, K=4
# Sessions: ['y_06', 'y_17', 'y_24']
# Wall-clock: 178.16s
# Final BIC: 127629.62616693812
# ----------------------------------------------

         103598 function calls (103107 primitive calls) in 178.136 seconds

   Ordered by: cumulative time
   List reduced from 974 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  178.136  178.136 C:\Users\optilab\Desktop\CADENCE\.claude\worktrees\rslds-tier-ab\cadence\significance\rslds_model.py:1892(fit_hierarchical_slds)
        5    0.000    0.000  177.443   35.489 C:\Users\optilab\miniconda3\envs\MCCT\Lib\site-packages\joblib\parallel.py:1969(__call__)
       25    0.000    0.000  177.443    7.098 C:\Users\optilab\miniconda3\envs\MCCT\Lib\site-packages\joblib\parallel.py:1670(_get_outputs)
        5    0.071    0.014  177.430   35.486 C:\Users\optilab\miniconda3\envs\MCCT\Lib\site-packages\joblib\parallel.py:1776(_retrieve)
    10950  177.336    0.016  177.336    0.016 {built-in method time.sleep}
        3    0.000    0.000    0.396    0.132 C:\Users\optilab\Desktop\CADENCE\.claude\worktrees\rslds-tier-ab\cadence\significance\rslds_model.py:1817(_hierarchical_m_step_transitions)
        3    0.000    0.000    0.395    0.132 C:\Users\optilab\miniconda3\envs\MCCT\Lib\site-packages\scipy\optimize\_minimize.py:54(minimize)
        3    0.000    0.000    0.395    0.132 C:\Users\optilab\miniconda3\envs\MCCT\Lib\site-packages\scipy\optimize\_lbfgsb_py.py:294(_minimize_lbfgsb)
       69    0.000    0.000    0.391    0.006 C:\Users\optilab\miniconda3\envs\MCCT\Lib\site-packages\scipy\optimize\_differentiable_functions.py:360(_update_fun)
      132    0.000    0.000    0.391    0.003 C:\Users\optilab\miniconda3\envs\MCCT\Lib\site-packages\scipy\optimize\_optimize.py:71(_compute_if_needed)
       66    0.000    0.000    0.391    0.006 C:\Users\optilab\miniconda3\envs\MCCT\Lib\site-packages\scipy\_lib\_util.py:600(__call__)
       66    0.000    0.000    0.391    0.006 C:\Users\optilab\miniconda3\envs\MCCT\Lib\site-packages\scipy\optimize\_optimize.py:78(__call__)
       66    0.085    0.001    0.390    0.006 C:\Users\optilab\Desktop\CADENCE\.claude\worktrees\rslds-tier-ab\cadence\significance\rslds_model.py:1835(_objective)
       66    0.000    0.000    0.375    0.006 C:\Users\optilab\miniconda3\envs\MCCT\Lib\site-packages\scipy\optimize\_differentiable_functions.py:409(fun_and_grad)
        5    0.000    0.000    0.202    0.040 C:\Users\optilab\Desktop\CADENCE\.claude\worktrees\rslds-tier-ab\cadence\io\resources.py:145(pick_n_jobs)
        5    0.000    0.000    0.202    0.040 C:\Users\optilab\Desktop\CADENCE\.claude\worktrees\rslds-tier-ab\cadence\io\resources.py:93(snapshot)
        5    0.000    0.000    0.201    0.040 C:\Users\optilab\Desktop\CADENCE\.claude\worktrees\rslds-tier-ab\cadence\io\resources.py:71(_query_nvidia_smi)
        5    0.000    0.000    0.200    0.040 C:\Users\optilab\miniconda3\envs\MCCT\Lib\subprocess.py:506(run)
        5    0.000    0.000    0.187    0.037 C:\Users\optilab\miniconda3\envs\MCCT\Lib\subprocess.py:1165(communicate)
      220    0.182    0.001    0.182    0.001 {method 'acquire' of '_thread.lock' objects}
        5    0.000    0.000    0.177    0.035 C:\Users\optilab\miniconda3\envs\MCCT\Lib\subprocess.py:1603(_communicate)
       25    0.000    0.000    0.172    0.007 C:\Users\optilab\miniconda3\envs\MCCT\Lib\threading.py:1087(join)
       30    0.000    0.000    0.172    0.006 C:\Users\optilab\miniconda3\envs\MCCT\Lib\threading.py:1125(_wait_for_tstate_lock)
     1551    0.000    0.000    0.158    0.000 C:\Users\optilab\miniconda3\envs\MCCT\Lib\site-packages\numpy\_core\einsumfunc.py:1244(einsum)
     1551    0.157    0.000    0.157    0.000 {built-in method numpy._core._multiarray_umath.c_einsum}
      198    0.061    0.000    0.145    0.001 C:\Users\optilab\Desktop\CADENCE\.claude\worktrees\rslds-tier-ab\cadence\significance\rslds_model.py:41(logsumexp)
     1870    0.097    0.000    0.097    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      774    0.001    0.000    0.088    0.000 C:\Users\optilab\miniconda3\envs\MCCT\Lib\site-packages\numpy\_core\fromnumeric.py:66(_wrapreduction)
      198    0.000    0.000    0.062    0.000 C:\Users\optilab\miniconda3\envs\MCCT\Lib\site-packages\numpy\_core\fromnumeric.py:3011(max)
        9    0.029    0.003    0.043    0.005 C:\Users\optilab\Desktop\CADENCE\.claude\worktrees\rslds-tier-ab\cadence\significance\rslds_model.py:1321(slds_m_step_emissions)
     57/3    0.000    0.000    0.033    0.011 <frozen importlib._bootstrap>:1165(_find_and_load)
     57/3    0.000    0.000    0.033    0.011 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
     54/4    0.000    0.000    0.032    0.008 <frozen importlib._bootstrap>:666(_load_unlocked)
     50/4    0.000    0.000    0.032    0.008 <frozen importlib._bootstrap_external>:934(exec_module)
    125/8    0.000    0.000    0.031    0.004 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     59/4    0.001    0.000    0.029    0.007 {built-in method builtins.exec}
        1    0.000    0.000    0.027    0.027 C:\Users\optilab\miniconda3\envs\MCCT\Lib\site-packages\joblib\__init__.py:1(<module>)
      576    0.001    0.000    0.026    0.000 C:\Users\optilab\miniconda3\envs\MCCT\Lib\site-packages\numpy\_core\fromnumeric.py:2304(sum)
        3    0.000    0.000    0.018    0.006 C:\Users\optilab\miniconda3\envs\MCCT\Lib\site-packages\scipy\optimize\_optimize.py:204(_prepare_scalar_function)
        3    0.000    0.000    0.018    0.006 C:\Users\optilab\miniconda3\envs\MCCT\Lib\site-packages\scipy\optimize\_differentiable_functions.py:218(__init__)
        1    0.000    0.000    0.017    0.017 C:\Users\optilab\miniconda3\envs\MCCT\Lib\site-packages\joblib\_cloudpickle_wrapper.py:1(<module>)
        3    0.013    0.004    0.016    0.005 C:\Users\optilab\Desktop\CADENCE\.claude\worktrees\rslds-tier-ab\cadence\significance\rslds_model.py:1759(_hierarchical_m_step_dynamics)
        1    0.000    0.000    0.015    0.015 C:\Users\optilab\miniconda3\envs\MCCT\Lib\site-packages\joblib\externals\loky\__init__.py:1(<module>)
       50    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        5    0.000    0.000    0.013    0.003 C:\Users\optilab\miniconda3\envs\MCCT\Lib\subprocess.py:807(__init__)
     12/9    0.000    0.000    0.013    0.001 {built-in method builtins.__import__}
    10955    0.012    0.000    0.012    0.000 C:\Users\optilab\miniconda3\envs\MCCT\Lib\site-packages\joblib\parallel.py:1749(_wait_retrieval)
        5    0.000    0.000    0.012    0.002 C:\Users\optilab\miniconda3\envs\MCCT\Lib\subprocess.py:1436(_execute_child)
        5    0.011    0.002    0.011    0.002 {built-in method _winapi.CreateProcess}
       40    0.000    0.000    0.011    0.000 C:\Users\optilab\miniconda3\envs\MCCT\Lib\threading.py:945(start)
      873    0.000    0.000    0.011    0.000 {method 'sum' of 'numpy.ndarray' objects}
      873    0.000    0.000    0.011    0.000 C:\Users\optilab\miniconda3\envs\MCCT\Lib\site-packages\numpy\_core\_methods.py:47(_sum)
       10    0.000    0.000    0.011    0.001 C:\Users\optilab\miniconda3\envs\MCCT\Lib\subprocess.py:1259(wait)
       10    0.000    0.000    0.011    0.001 C:\Users\optilab\miniconda3\envs\MCCT\Lib\subprocess.py:1580(_wait)
        5    0.010    0.002    0.010    0.002 {built-in method _winapi.WaitForSingleObject}
    63/28    0.000    0.000    0.010    0.000 {built-in method builtins.next}
       40    0.000    0.000    0.010    0.000 C:\Users\optilab\miniconda3\envs\MCCT\Lib\threading.py:611(wait)
        5    0.000    0.000    0.010    0.002 C:\Users\optilab\miniconda3\envs\MCCT\Lib\site-packages\joblib\parallel.py:1649(_start)
